Date,Open,High,Low,Close,Volume
7-Oct-16,4880.50,4897.00,4774.61,4873.50,2873393
6-Oct-16,4895.50,4906.00,4849.64,4863.00,2223698
5-Oct-16,5030.00,5056.00,4875.00,4881.00,2782079
4-Oct-16,4999.50,5108.00,4988.50,5042.00,4997226
3-Oct-16,4932.50,4993.50,4925.00,4983.00,1836333
30-Sep-16,4925.00,4950.62,4900.50,4930.00,2241526
29-Sep-16,4918.50,4978.50,4918.50,4946.50,1614747
28-Sep-16,4898.00,4961.00,4898.00,4936.77,1822899
27-Sep-16,4919.00,4946.50,4887.10,4898.00,1956354
26-Sep-16,4913.00,4924.00,4867.00,4885.00,1781949
23-Sep-16,4863.00,4944.00,4855.00,4939.00,1940259
22-Sep-16,4815.00,4894.50,4791.50,4863.00,1872027
21-Sep-16,4838.50,4851.50,4788.05,4796.00,1829880
20-Sep-16,4761.50,4835.00,4743.00,4812.50,1574230
19-Sep-16,4742.50,4766.50,4726.00,4762.50,1377812
16-Sep-16,4738.00,4748.00,4697.00,4713.00,3473986
15-Sep-16,4686.00,4737.34,4665.00,4733.00,1452038
14-Sep-16,4709.00,4729.50,4674.00,4674.00,1680352
13-Sep-16,4707.00,4743.50,4691.00,4708.50,1695888
12-Sep-16,4651.00,4738.05,4636.00,4698.00,1744254
9-Sep-16,4749.50,4787.50,4681.00,4695.50,1981949
8-Sep-16,4850.00,4888.50,4782.50,4782.50,1906281
7-Sep-16,4782.00,4835.50,4759.85,4818.50,1756932
6-Sep-16,4817.00,4817.00,4763.50,4774.00,1407707
5-Sep-16,4877.50,4888.50,4769.50,4803.50,1179834
2-Sep-16,4730.50,4899.00,4711.00,4866.00,3764661
1-Sep-16,4758.50,4774.50,4663.50,4713.50,1723088
31-Aug-16,4748.00,4771.50,4711.50,4726.50,1847739
30-Aug-16,4803.00,4812.50,4742.00,4754.50,2204610
26-Aug-16,4823.00,4824.00,4782.50,4810.00,1155159
25-Aug-16,4800.00,4842.00,4762.00,4816.00,1686069
24-Aug-16,4830.00,4871.30,4796.00,4800.50,1429952
23-Aug-16,4912.50,4936.00,4850.50,4850.50,1403937
22-Aug-16,4878.50,4940.50,4858.00,4889.00,1946745
19-Aug-16,4818.00,4900.12,4809.80,4872.50,1546444
18-Aug-16,4900.00,4915.00,4833.03,4834.00,2101008
17-Aug-16,4972.50,4992.50,4927.07,4947.00,1549382
16-Aug-16,4954.50,4978.50,4929.50,4968.00,1504944
15-Aug-16,4980.50,5006.00,4968.00,4981.00,1512119
12-Aug-16,4966.00,4983.50,4936.50,4946.52,1279914
11-Aug-16,4869.00,4985.00,4862.00,4985.00,2220043
10-Aug-16,4790.00,4858.50,4780.50,4858.50,1785863
9-Aug-16,4763.50,4809.50,4760.00,4800.00,1336733
8-Aug-16,4796.00,4811.50,4735.50,4759.50,1558503
5-Aug-16,4832.50,4863.50,4772.50,4831.50,1668689
4-Aug-16,4684.50,4812.98,4653.00,4812.50,2524127
3-Aug-16,4822.50,4823.50,4702.50,4703.00,1857333
2-Aug-16,4795.00,4820.98,4773.50,4820.50,1975256
1-Aug-16,4829.50,4829.50,4768.07,4798.50,1946105
29-Jul-16,4737.00,4831.50,4702.00,4824.50,2878861
28-Jul-16,4780.00,4848.00,4727.00,4782.50,1984058
27-Jul-16,4784.00,4795.00,4725.00,4746.50,1852126
26-Jul-16,4818.00,4847.00,4772.50,4782.00,1931768
25-Jul-16,4808.00,4836.00,4782.00,4803.00,1409963
22-Jul-16,4781.50,4817.50,4740.00,4813.50,1917786
21-Jul-16,4779.00,4827.00,4766.50,4772.00,1974542
20-Jul-16,4817.00,4852.00,4797.50,4800.00,1679333
19-Jul-16,4773.00,4806.00,4761.50,4789.00,1640150
18-Jul-16,4820.50,4860.00,4775.54,4776.50,1658191
15-Jul-16,4788.50,4835.00,4747.00,4835.00,3320214
14-Jul-16,4840.50,4893.00,4780.00,4780.50,2441147
13-Jul-16,4809.00,4846.50,4410.20,4814.50,3446059
12-Jul-16,4921.00,4964.00,4795.50,4839.50,2903128
11-Jul-16,4883.00,4951.50,4850.50,4919.50,2250104
8-Jul-16,4920.50,4933.00,4811.00,4898.00,2980747
7-Jul-16,4888.50,4950.00,4880.00,4947.50,3084387
6-Jul-16,5040.00,5135.00,4890.50,4900.00,4363315
5-Jul-16,4920.00,5044.00,4915.00,5035.00,3780900
4-Jul-16,4902.50,4948.00,4893.00,4904.50,1783532
1-Jul-16,4853.50,4965.50,4829.00,4879.00,2948391
30-Jun-16,4693.50,4843.00,4666.50,4843.00,4358292
29-Jun-16,4592.50,4800.00,4583.50,4694.00,3788499
28-Jun-16,4553.00,4574.50,4512.00,4555.50,4950031
27-Jun-16,4334.50,4487.00,4332.00,4455.00,4590881
24-Jun-16,4343.00,4476.50,4155.00,4385.00,8078018
23-Jun-16,4287.50,4347.50,4214.00,4275.50,2074733
22-Jun-16,4251.50,4290.50,4210.50,4254.50,2665076
21-Jun-16,4222.00,4271.50,4202.50,4247.50,2391621
20-Jun-16,4185.00,4260.50,4120.00,4235.00,2901120
17-Jun-16,4160.50,4161.50,4105.50,4116.50,3695651
16-Jun-16,4081.50,4155.00,4075.00,4145.50,2162394
15-Jun-16,4094.50,4141.50,4081.39,4100.00,2054106
14-Jun-16,4140.50,4172.00,4072.00,4072.00,2944045
13-Jun-16,4188.00,4264.50,4147.50,4147.50,1753251
10-Jun-16,4259.00,4271.13,4173.50,4218.50,2068092
9-Jun-16,4274.00,4287.00,4253.50,4272.50,1991036
8-Jun-16,4264.50,4284.50,4254.50,4276.50,1709412
7-Jun-16,4275.00,4292.50,4265.50,4279.50,2042155
6-Jun-16,4216.00,4296.00,4216.00,4271.50,2111007
3-Jun-16,4156.00,4215.00,4156.00,4206.00,1871198
2-Jun-16,4161.00,4179.28,4139.15,4142.50,2009245
1-Jun-16,4194.50,4217.50,4150.50,4167.00,2008819
31-May-16,4228.50,4244.00,4198.00,4198.00,4273567
27-May-16,4181.50,4206.00,4167.00,4205.50,1133500
26-May-16,4188.50,4192.50,4169.50,4185.00,1345903
25-May-16,4186.50,4199.50,4164.50,4182.00,1539377
24-May-16,4115.00,4174.50,4102.50,4170.50,2065451
23-May-16,4144.50,4153.50,4102.00,4116.00,1670970
20-May-16,4117.00,4154.50,4112.00,4147.00,1944098
19-May-16,4140.00,4149.00,4077.50,4086.00,2268124
18-May-16,4175.00,4181.50,4149.00,4165.50,1710025
17-May-16,4245.50,4250.00,4170.00,4189.00,1962612
16-May-16,4194.00,4237.50,4168.50,4235.00,1157197
13-May-16,4207.00,4224.50,4172.50,4224.50,1543375
12-May-16,4225.00,4254.00,4192.50,4210.50,1819469
11-May-16,4233.00,4257.50,4221.50,4245.00,1283193
10-May-16,4237.00,4258.80,4203.50,4241.50,1505943
9-May-16,4225.00,4250.00,4194.00,4213.50,1399374
6-May-16,4184.00,4199.00,4147.50,4199.00,1628924
5-May-16,4162.00,4194.50,4139.00,4191.00,1670413
4-May-16,4146.50,4233.61,4107.50,4222.10,2370597
3-May-16,4200.50,4200.50,4098.00,4156.00,2600453
29-Apr-16,4159.50,4210.50,4132.00,4170.00,2555297
28-Apr-16,4143.00,4186.00,4100.50,4186.00,2333114
27-Apr-16,4151.50,4163.50,4098.50,4162.00,2104652
26-Apr-16,4250.00,4346.92,4134.50,4144.50,2228369
25-Apr-16,4118.50,4207.50,4118.50,4162.50,2734117
22-Apr-16,4161.50,4176.00,4117.50,4146.35,2068854
21-Apr-16,4265.50,4270.00,4135.50,4175.00,2938950
20-Apr-16,4280.50,4357.13,4235.25,4264.50,3074096
19-Apr-16,4281.00,4307.00,4271.50,4281.00,2320898
18-Apr-16,4207.00,4281.14,4206.50,4280.50,2155438
15-Apr-16,4213.50,4324.43,4207.50,4232.00,2612361
14-Apr-16,4145.00,4215.25,4134.24,4210.00,2237893
13-Apr-16,4187.00,4295.72,4169.00,4186.50,2098299
12-Apr-16,4182.50,4182.50,4135.50,4167.50,2020057
11-Apr-16,4199.00,4200.50,4159.00,4193.50,2245570
8-Apr-16,4173.50,4195.38,4158.50,4190.00,2194385
7-Apr-16,4132.00,4155.00,4103.00,4148.50,1847543
6-Apr-16,4132.50,4134.25,4090.50,4124.50,1826692
5-Apr-16,4088.00,4130.00,4078.00,4118.00,2474235
4-Apr-16,4081.00,4127.50,4033.53,4098.00,1578670
1-Apr-16,4040.00,4091.50,4016.00,4083.50,2286758
31-Mar-16,4075.50,4099.50,4057.00,4090.00,2782115
30-Mar-16,4020.00,4075.00,4000.00,4075.00,3014496
29-Mar-16,4018.50,4029.50,3975.50,3994.00,2507039
24-Mar-16,4030.50,4033.00,3989.00,3995.50,1907979
23-Mar-16,3984.00,4048.00,3981.84,4044.00,2391950
22-Mar-16,3962.00,3999.50,3940.00,3983.00,2403977
21-Mar-16,3962.00,3997.50,3950.00,3976.00,1691162
18-Mar-16,4040.00,4055.50,3977.00,3977.00,3406303
17-Mar-16,4033.50,4042.00,3976.50,4042.00,2184780
16-Mar-16,4147.00,4149.00,4109.50,4117.00,2151790
15-Mar-16,4090.50,4133.50,4071.00,4128.00,1913464
14-Mar-16,4076.00,4105.50,4060.50,4101.00,1930952
11-Mar-16,4034.00,4084.00,4027.50,4076.50,2385244
10-Mar-16,4059.00,4073.50,3984.50,3984.50,2840181
9-Mar-16,4021.00,4045.00,3993.50,4045.00,2670080
8-Mar-16,3982.50,4021.00,3958.50,4012.50,2048191
7-Mar-16,4070.50,4090.50,4003.00,4008.50,1936112
4-Mar-16,3962.50,4044.50,3961.50,4044.50,2526688
3-Mar-16,3966.00,3976.50,3940.00,3958.00,1787186
2-Mar-16,4013.50,4013.50,3951.00,3968.50,3033457
1-Mar-16,3936.50,4005.50,3915.00,4000.00,2271713
29-Feb-16,3918.00,3934.50,3884.00,3925.50,2474088
26-Feb-16,3919.00,3954.00,3901.00,3915.00,2514660
25-Feb-16,3800.00,3888.50,3776.50,3877.50,2752237
24-Feb-16,3853.50,3854.00,3814.50,3834.00,2325573
23-Feb-16,3807.00,3852.00,3807.00,3843.00,2479744
22-Feb-16,3872.00,3881.50,3852.50,3864.50,1707255
19-Feb-16,3861.50,3861.50,3812.00,3830.00,2256104
18-Feb-16,3890.50,3898.00,3802.00,3849.50,2747061
17-Feb-16,3859.00,3890.00,3845.50,3890.00,2528345
16-Feb-16,3789.50,3856.00,3787.50,3844.00,2092499
15-Feb-16,3778.00,3805.50,3744.50,3775.00,1710545
12-Feb-16,3700.50,3720.00,3668.00,3708.50,3097922
11-Feb-16,3661.50,3705.00,3609.00,3681.00,3404923
10-Feb-16,3782.50,3798.00,3671.00,3692.50,3063922
9-Feb-16,3753.50,3779.00,3703.50,3736.50,3426629
8-Feb-16,3745.50,3746.00,3684.50,3731.00,3349263
5-Feb-16,3755.00,3778.50,3722.50,3726.50,2155438
4-Feb-16,3834.50,3856.07,3726.50,3753.50,2983140
3-Feb-16,3858.50,3870.00,3799.00,3805.00,3328460
2-Feb-16,3865.00,3866.00,3824.00,3856.50,2468049
1-Feb-16,3895.50,3903.50,3826.50,3864.00,2924412
29-Jan-16,3829.50,3897.00,3800.00,3897.00,3635670
28-Jan-16,3765.50,3800.16,3748.00,3768.50,2586968
27-Jan-16,3671.00,3764.00,3653.50,3764.00,2551023
26-Jan-16,3616.50,3688.50,3601.50,3683.00,1854422
25-Jan-16,3642.50,3660.50,3624.00,3657.00,2391852
22-Jan-16,3624.50,3646.50,3606.00,3625.50,2206223
21-Jan-16,3575.50,3599.50,3547.00,3579.50,2635524
20-Jan-16,3606.50,3619.50,3544.00,3565.00,2763175
19-Jan-16,3659.00,3665.00,3634.00,3647.00,1936506
18-Jan-16,3595.00,3641.00,3562.27,3612.00,1853279
15-Jan-16,3622.50,3631.00,3536.00,3595.00,3866693
14-Jan-16,3675.50,3678.50,3623.00,3639.50,2332610
13-Jan-16,3725.50,3729.00,3698.00,3721.00,2181011
12-Jan-16,3636.00,3722.50,3621.50,3698.00,2246968
11-Jan-16,3614.00,3676.00,3602.00,3648.50,1885078
8-Jan-16,3670.50,3673.50,3629.50,3631.00,1903587
7-Jan-16,3658.50,3692.50,3627.00,3664.50,2806675
6-Jan-16,3710.00,3729.50,3675.00,3728.00,1919314
5-Jan-16,3721.50,3745.00,3643.50,3709.00,1716109
4-Jan-16,3748.50,3748.50,3671.00,3685.50,1799682
31-Dec-15,3780.00,3801.00,3754.00,3771.00,493136
30-Dec-15,3799.00,3803.18,3773.50,3789.50,784619
29-Dec-15,3793.50,3816.00,3767.00,3806.00,1279528
24-Dec-15,3763.50,3784.50,3729.50,3781.00,290109
23-Dec-15,3696.50,3753.01,3691.50,3745.50,1151895
22-Dec-15,3658.00,3688.50,3647.00,3669.50,1022048
21-Dec-15,3667.00,3712.50,3657.50,3657.50,1161185
18-Dec-15,3703.00,3730.50,3660.50,3666.50,3642281
16-Dec-15,3693.00,3723.35,3672.50,3719.00,2026155
15-Dec-15,3616.50,3697.00,3616.50,3686.00,2744872
14-Dec-15,3603.50,3673.88,3583.50,3590.00,2770344
11-Dec-15,3685.50,3700.50,3572.50,3599.00,3535022
10-Dec-15,3699.00,3709.00,3672.00,3694.00,2820104
9-Dec-15,3830.00,3830.00,3737.00,3738.00,2404345
8-Dec-15,3840.00,3861.00,3781.50,3800.00,2025167
7-Dec-15,3809.50,3843.50,3779.00,3835.50,1576640
4-Dec-15,3803.00,3803.00,3760.50,3781.00,2083269
3-Dec-15,3884.50,3915.50,3810.00,3816.00,2477440
2-Dec-15,3899.00,3906.00,3872.00,3891.00,1476889
1-Dec-15,3875.00,3887.00,3843.50,3886.50,2351031
30-Nov-15,3901.50,3931.50,3861.50,3868.00,2213817
27-Nov-15,3848.50,3909.50,3837.50,3898.50,1353398
26-Nov-15,3876.50,3892.50,3858.00,3875.00,918036
25-Nov-15,3856.50,3884.50,3850.50,3873.00,1480823
24-Nov-15,3871.50,3871.50,3810.00,3850.00,1388285
23-Nov-15,3834.00,3870.50,3820.00,3869.00,1465304
20-Nov-15,3873.50,3892.50,3839.22,3870.00,2060456
19-Nov-15,3819.00,3867.50,3816.50,3860.50,2507476
18-Nov-15,3794.50,3824.02,3782.50,3808.50,1298888
17-Nov-15,3774.50,3816.50,3760.00,3812.00,2002026
16-Nov-15,3689.00,3741.50,3687.50,3741.00,1426523
13-Nov-15,3718.00,3728.81,3667.00,3705.50,2117112
12-Nov-15,3787.00,3796.00,3720.00,3724.50,1993755
11-Nov-15,3790.00,3807.50,3764.00,3784.50,1500313
10-Nov-15,3793.00,3797.00,3736.50,3780.00,1656375
9-Nov-15,3800.00,3810.10,3759.00,3773.00,1887903
6-Nov-15,3869.50,3875.50,3798.50,3810.00,1722042
5-Nov-15,3857.50,3901.50,3845.23,3860.00,1469131
4-Nov-15,3831.50,3871.00,3823.50,3857.00,1557328
3-Nov-15,3825.00,3847.50,3818.00,3842.00,1307969
2-Nov-15,3826.00,3843.00,3811.00,3820.00,1830065
30-Oct-15,3895.00,3906.00,3842.50,3859.50,2185941
29-Oct-15,3895.00,3902.00,3853.00,3890.50,2126192
28-Oct-15,3826.00,3900.52,3826.00,3893.00,2597270
27-Oct-15,3825.00,3836.00,3793.50,3793.50,1541099
26-Oct-15,3805.00,3842.00,3797.50,3830.00,1663850
23-Oct-15,3848.00,3858.00,3828.57,3843.50,1921801
22-Oct-15,3820.00,3831.50,3796.50,3823.00,1682535
21-Oct-15,3814.00,3849.50,3800.50,3816.00,1841187
20-Oct-15,3840.00,3844.50,3785.00,3799.00,2103566
19-Oct-15,3826.00,3906.73,3798.00,3824.50,1434397
16-Oct-15,3797.50,3834.00,3783.00,3830.00,2269612
15-Oct-15,3753.00,3815.50,3751.00,3804.00,2398273
14-Oct-15,3755.00,3760.00,3729.00,3737.00,1963879
13-Oct-15,3759.50,3790.00,3726.50,3772.00,2222006
12-Oct-15,3770.50,3770.50,3719.00,3763.50,1688478
9-Oct-15,3760.50,3782.50,3734.50,3770.00,1750634
8-Oct-15,3723.00,3750.00,3702.50,3738.50,1951970
7-Oct-15,3709.00,3747.00,3699.00,3726.00,2528809
6-Oct-15,3683.00,3710.50,3658.00,3702.50,2082995
5-Oct-15,3689.00,3694.50,3665.50,3679.50,1927861
2-Oct-15,3635.00,3655.00,3584.50,3634.50,1908838
1-Oct-15,3643.00,3678.50,3586.00,3588.50,2609836
30-Sep-15,3583.00,3643.00,3561.50,3643.00,3369159
29-Sep-15,3516.50,3558.50,3505.00,3521.00,2269679
28-Sep-15,3619.00,3628.00,3549.50,3555.50,1911053
25-Sep-15,3579.00,3635.50,3561.00,3618.00,2690202
24-Sep-15,3521.00,3555.50,3499.00,3535.00,3099775
23-Sep-15,3460.00,3535.50,3460.00,3514.50,2042322
22-Sep-15,3560.00,3570.50,3459.00,3459.00,3247385
21-Sep-15,3556.00,3599.60,3553.50,3558.50,2034824
18-Sep-15,3572.50,3585.00,3450.00,3571.00,4979672
17-Sep-15,3582.50,3634.50,3571.85,3578.00,3321537
16-Sep-15,3490.50,3582.00,3484.50,3575.00,3218221
15-Sep-15,3440.00,3477.50,3405.00,3472.50,2920379
14-Sep-15,3441.50,3467.00,3420.00,3423.00,1736648
11-Sep-15,3435.50,3454.50,3402.00,3424.00,2620545
10-Sep-15,3442.00,3444.00,3403.50,3439.50,2521826
9-Sep-15,3468.50,3484.00,3434.50,3469.50,2023440
8-Sep-15,3400.00,3439.50,3354.60,3410.50,1833686
7-Sep-15,3401.50,3412.50,3367.00,3400.00,1063091
4-Sep-15,3431.00,3431.00,3376.50,3384.50,2322807
3-Sep-15,3419.00,3458.50,3404.00,3450.50,2691087
2-Sep-15,3404.50,3423.50,3358.00,3392.50,2448893
1-Sep-15,3431.00,3440.00,3367.50,3391.00,3015492
28-Aug-15,3479.50,3487.08,3386.16,3479.00,2339701
27-Aug-15,3466.50,3476.50,3409.50,3465.00,2735335
26-Aug-15,3385.00,3462.00,3366.00,3405.50,4228421
25-Aug-15,3391.50,3440.50,3364.50,3425.00,4854727
24-Aug-15,3378.00,3420.50,3231.50,3355.50,7688836
21-Aug-15,3555.50,3585.50,3499.50,3499.50,2802112
20-Aug-15,3598.00,3601.00,3558.50,3582.50,2174340
19-Aug-15,3702.50,3703.00,3648.50,3657.00,2367839
18-Aug-15,3730.50,3734.00,3654.94,3709.00,2086138
17-Aug-15,3740.50,3743.06,3700.50,3726.50,1176887
14-Aug-15,3743.50,3745.00,3713.50,3721.00,1503705
13-Aug-15,3741.50,3777.50,3698.50,3731.00,2366739
12-Aug-15,3755.00,3782.45,3678.35,3694.00,3176013
11-Aug-15,3808.50,3831.00,3768.00,3775.00,2210280
10-Aug-15,3828.00,3835.00,3777.00,3822.50,1959060
7-Aug-15,3813.50,3824.00,3793.50,3805.00,1696085
6-Aug-15,3828.50,3871.00,3823.00,3830.00,2006487
5-Aug-15,3822.50,3851.50,3803.00,3828.50,2103639
4-Aug-15,3790.50,3843.00,3783.00,3821.00,2428218
3-Aug-15,3788.50,3800.00,3766.00,3785.00,2008199
31-Jul-15,3750.00,3806.50,3743.74,3801.00,3477104
30-Jul-15,3693.00,3747.00,3673.50,3740.00,3902549
29-Jul-15,3650.00,3680.50,3629.50,3680.50,3694271
28-Jul-15,3540.00,3551.50,3517.50,3551.50,2538801
27-Jul-15,3559.50,3575.00,3498.00,3512.00,2450248
24-Jul-15,3585.00,3629.00,3542.50,3550.00,1857141
23-Jul-15,3637.00,3660.50,3559.00,3579.50,1947783
22-Jul-15,3636.50,3653.00,3581.50,3592.50,2117353
21-Jul-15,3665.00,3676.00,3630.00,3659.50,1579231
