Date,Open,High,Low,Close,Volume
7-Oct-16,900.00,954.00,884.28,896.00,7724443
6-Oct-16,924.00,957.00,913.50,933.50,9528383
5-Oct-16,986.00,1012.00,981.00,1003.00,3161412
4-Oct-16,1008.00,1015.00,990.00,990.00,3173346
3-Oct-16,1003.00,1015.78,1000.72,1006.00,1682720
30-Sep-16,1008.00,1031.47,1000.00,1007.00,2756507
29-Sep-16,1033.00,1036.08,1005.00,1021.00,1959633
28-Sep-16,1015.00,1035.00,1012.20,1031.00,2065282
27-Sep-16,1018.00,1026.93,992.50,1009.00,2504814
26-Sep-16,1030.00,1034.00,1011.00,1016.00,2360153
23-Sep-16,1045.00,1050.00,1025.00,1034.00,2015747
22-Sep-16,1040.00,1053.54,1015.00,1046.00,2321118
21-Sep-16,1050.00,1058.00,1026.32,1031.00,2186095
20-Sep-16,1071.00,1081.00,1040.05,1041.00,2514085
19-Sep-16,1090.00,1095.00,1065.00,1070.00,1762658
16-Sep-16,1085.00,1086.32,1071.00,1075.00,3930383
15-Sep-16,1074.00,1097.00,1068.00,1085.00,2185806
14-Sep-16,1139.00,1140.00,1083.00,1086.00,3414837
13-Sep-16,1155.00,1163.00,1133.00,1134.00,2356390
12-Sep-16,1177.00,1177.00,1138.00,1152.00,2342436
9-Sep-16,1196.00,1228.00,1170.00,1188.00,2678296
8-Sep-16,1142.00,1198.02,1142.00,1197.00,3418204
7-Sep-16,1141.00,1159.00,1115.95,1154.00,2222622
6-Sep-16,1141.00,1165.00,1134.00,1150.00,1563593
5-Sep-16,1146.00,1146.28,1122.00,1131.00,1144604
2-Sep-16,1135.00,1145.00,1118.00,1139.00,2032936
1-Sep-16,1112.00,1136.00,1106.75,1128.00,1628759
31-Aug-16,1112.00,1123.00,1104.45,1105.00,1973987
30-Aug-16,1105.00,1124.00,1105.00,1112.00,1278105
26-Aug-16,1100.00,1109.00,1095.79,1101.00,1122186
25-Aug-16,1118.00,1118.00,1101.75,1104.00,1077517
24-Aug-16,1108.00,1128.00,1101.64,1116.00,1110466
23-Aug-16,1107.00,1116.00,1099.36,1107.00,1240305
22-Aug-16,1099.00,1122.00,1095.00,1099.00,1583839
19-Aug-16,1093.00,1128.00,1067.00,1105.00,3948788
18-Aug-16,1055.00,1084.00,1044.00,1078.00,1864835
17-Aug-16,1069.00,1076.67,1046.00,1047.00,1147699
16-Aug-16,1085.00,1085.00,1059.90,1060.00,1250743
15-Aug-16,1102.00,1105.00,1081.35,1087.00,893013
12-Aug-16,1062.00,1101.22,1060.00,1101.00,1551198
11-Aug-16,1079.00,1079.00,1050.00,1059.00,1114768
10-Aug-16,1074.00,1082.88,1061.43,1070.00,1564985
9-Aug-16,1053.00,1082.88,1046.09,1076.00,2169968
8-Aug-16,1039.00,1054.00,1034.00,1039.00,1346418
5-Aug-16,1013.00,1046.00,998.50,1035.00,1962097
4-Aug-16,1010.00,1013.63,1000.00,1008.00,1292325
3-Aug-16,1021.00,1023.00,996.68,999.00,1670946
2-Aug-16,1032.00,1037.00,1011.50,1014.00,1896284
1-Aug-16,1049.00,1049.00,1013.00,1041.00,2563599
29-Jul-16,1025.00,1058.00,1021.00,1041.00,2103283
28-Jul-16,1020.00,1036.72,1012.00,1017.00,1802816
27-Jul-16,996.00,1022.00,995.00,1012.00,3350621
26-Jul-16,1021.00,1024.37,973.00,989.50,3554652
25-Jul-16,1033.00,1047.18,1010.00,1020.00,2792752
