Date,Open,High,Low,Close,Volume
7-Oct-16,608.00,620.20,606.50,619.50,38842178
6-Oct-16,601.20,606.10,600.11,602.60,22571477
5-Oct-16,597.30,602.90,570.95,601.00,24695261
4-Oct-16,590.20,601.90,585.01,596.20,64350162
3-Oct-16,580.30,589.60,578.30,587.60,21779317
30-Sep-16,571.00,580.50,566.70,578.70,40023635
29-Sep-16,574.60,581.50,573.10,578.30,21394193
28-Sep-16,573.10,580.00,570.30,571.60,25151168
27-Sep-16,576.70,579.40,570.70,577.10,25107336
26-Sep-16,575.70,576.00,568.20,569.20,26007211
23-Sep-16,574.10,576.30,570.20,574.30,28747508
22-Sep-16,580.00,583.58,572.40,578.00,30683859
21-Sep-16,591.00,594.50,586.66,588.70,21080551
20-Sep-16,581.00,585.00,580.00,583.40,27087657
19-Sep-16,576.00,584.11,575.61,581.10,27247193
16-Sep-16,567.10,570.80,565.00,566.70,44800576
15-Sep-16,562.70,572.02,561.10,572.00,25796663
14-Sep-16,560.50,568.40,557.44,561.10,32782991
13-Sep-16,564.70,574.46,556.50,559.30,34056849
12-Sep-16,571.30,571.90,562.10,565.60,26435648
9-Sep-16,577.50,581.05,576.50,578.00,30153490
8-Sep-16,570.00,580.60,567.30,573.30,29076278
7-Sep-16,568.80,572.00,564.90,567.30,34956230
6-Sep-16,582.00,583.90,567.50,568.50,30191964
5-Sep-16,580.10,582.50,577.22,581.60,17741891
2-Sep-16,575.20,588.30,560.49,580.90,46396944
1-Sep-16,577.50,581.96,566.80,568.10,37724105
31-Aug-16,565.40,575.00,554.60,564.30,40636234
30-Aug-16,552.90,559.20,552.80,557.50,28798744
26-Aug-16,543.60,548.90,542.00,546.90,14299433
25-Aug-16,543.60,544.60,539.68,542.50,18212533
24-Aug-16,539.40,544.70,537.20,541.10,16998365
23-Aug-16,541.80,544.10,538.50,542.20,16981400
22-Aug-16,542.70,549.42,538.20,539.50,13756852
19-Aug-16,540.90,543.70,539.40,543.20,15351558
18-Aug-16,542.00,544.50,541.10,543.80,16808428
17-Aug-16,543.20,546.00,541.80,542.90,23307772
16-Aug-16,543.00,545.50,541.17,542.50,23407203
15-Aug-16,544.00,549.80,541.70,547.50,15524696
12-Aug-16,541.30,555.00,540.38,545.00,15633250
11-Aug-16,540.20,545.50,537.70,545.50,19038512
10-Aug-16,540.20,544.90,538.50,544.30,22157965
