Date,Open,High,Low,Close,Volume
7-Oct-16,185.50,186.50,177.50,181.90,20351349
6-Oct-16,185.30,189.20,184.90,185.50,15478819
5-Oct-16,180.60,184.10,176.90,183.80,12913345
4-Oct-16,179.00,184.30,178.10,182.40,21510707
3-Oct-16,178.40,179.70,171.55,179.30,14675885
30-Sep-16,173.80,179.20,168.20,178.80,25523736
29-Sep-16,179.40,179.52,176.20,177.10,9794414
28-Sep-16,175.20,178.00,173.00,176.40,13139690
27-Sep-16,178.50,179.30,169.60,174.62,16729244
26-Sep-16,181.60,182.00,176.80,177.50,15493289
23-Sep-16,186.80,186.80,181.80,182.60,12059634
22-Sep-16,183.90,187.46,179.70,186.50,12221092
21-Sep-16,183.70,186.50,180.80,183.20,17112254
20-Sep-16,186.10,187.30,183.64,183.70,13188301
19-Sep-16,188.80,190.07,185.50,185.90,15245028
16-Sep-16,188.70,189.00,183.30,185.60,27656675
15-Sep-16,197.10,198.60,193.80,194.20,11391458
14-Sep-16,199.40,200.10,196.50,197.40,10525165
13-Sep-16,200.30,201.87,197.70,198.00,13780665
12-Sep-16,200.10,202.70,195.70,199.60,19666943
9-Sep-16,202.00,208.80,199.20,206.70,16980706
8-Sep-16,197.00,202.62,195.91,202.10,15245930
7-Sep-16,195.30,197.00,192.00,197.00,14583406
6-Sep-16,197.90,199.60,195.10,195.40,10964241
5-Sep-16,200.00,203.00,195.70,197.10,17093436
2-Sep-16,203.00,205.41,199.20,204.30,14541907
1-Sep-16,202.50,205.51,197.55,201.00,17442958
31-Aug-16,199.40,204.30,199.40,201.50,18282289
30-Aug-16,196.80,200.50,196.10,200.10,11809612
26-Aug-16,196.10,197.70,193.90,196.70,8488733
25-Aug-16,196.30,198.50,195.40,195.50,7273265
24-Aug-16,195.00,199.50,193.10,198.60,10112172
23-Aug-16,190.60,197.50,189.10,196.10,16376744
22-Aug-16,187.30,190.20,185.70,188.20,8362582
19-Aug-16,186.50,187.90,184.40,187.50,11995867
18-Aug-16,191.00,191.50,186.60,187.30,12300542
17-Aug-16,191.60,193.80,188.50,190.30,9636882
16-Aug-16,191.60,193.00,188.70,191.60,11598205
15-Aug-16,195.70,197.30,190.40,193.10,9430334
12-Aug-16,195.10,197.38,193.70,196.30,11433529
11-Aug-16,195.70,196.70,191.50,195.00,13878345
10-Aug-16,189.80,195.70,187.38,194.90,15596133
9-Aug-16,185.10,193.30,184.10,192.30,18522226
8-Aug-16,177.10,184.72,175.40,184.70,20464928
5-Aug-16,185.00,186.00,173.80,178.20,35889909
4-Aug-16,190.20,194.70,189.00,192.00,16925995
3-Aug-16,186.20,191.50,185.41,190.60,18016976
2-Aug-16,187.80,189.10,182.10,185.80,17956887
1-Aug-16,192.30,193.00,186.90,189.10,14405899
29-Jul-16,188.00,195.30,187.20,192.40,15358019
28-Jul-16,193.00,194.50,187.60,188.00,20872864
27-Jul-16,187.60,193.50,186.50,189.93,14446628
26-Jul-16,189.60,189.90,185.30,187.00,10886306
25-Jul-16,188.50,190.50,185.02,190.50,14254824
22-Jul-16,191.10,191.90,188.10,189.40,17605261
21-Jul-16,194.10,196.60,190.63,192.20,19217159
20-Jul-16,191.20,194.70,189.90,194.70,18821054
19-Jul-16,189.50,192.30,186.80,190.10,17696368
18-Jul-16,183.00,191.50,182.80,189.80,26792538
15-Jul-16,181.30,188.76,180.90,184.00,19563788
14-Jul-16,177.80,183.76,175.50,182.20,20605071
13-Jul-16,182.40,183.70,174.00,177.80,23935160
12-Jul-16,179.90,186.61,178.40,182.00,21376859
11-Jul-16,171.10,179.30,168.60,179.30,24694880
8-Jul-16,157.30,169.21,155.00,168.80,26420486
7-Jul-16,150.30,161.88,150.30,158.60,26714761
6-Jul-16,155.00,156.00,148.40,148.90,39215395
5-Jul-16,165.40,166.70,158.50,158.50,26235082
4-Jul-16,171.80,172.46,166.20,167.50,15463916
1-Jul-16,173.40,176.70,165.34,169.70,32151115
30-Jun-16,174.40,176.30,168.25,171.60,35893379
29-Jun-16,177.00,181.10,171.40,180.20,31321013
28-Jun-16,182.30,184.00,159.00,173.80,40307243
27-Jun-16,191.50,208.54,151.50,174.30,68232394
24-Jun-16,165.00,218.80,164.93,205.30,62469153
23-Jun-16,249.00,255.60,246.50,250.50,19069405
22-Jun-16,243.40,249.20,239.86,246.60,12873940
21-Jun-16,237.00,243.40,235.00,241.80,11224299
20-Jun-16,233.80,241.70,232.00,237.70,19528002
17-Jun-16,217.00,225.70,217.00,222.10,29657538
16-Jun-16,213.50,215.70,210.00,214.20,12357967
15-Jun-16,213.60,218.70,212.90,217.00,13978297
14-Jun-16,215.30,216.40,210.90,212.00,16163611
13-Jun-16,210.60,218.66,210.60,216.10,20199053
10-Jun-16,221.50,222.00,213.60,213.90,13541413
9-Jun-16,224.10,227.05,221.20,222.00,13566134
3-Jun-16,241.90,243.50,234.39,237.20,9195403
2-Jun-16,239.50,246.10,239.50,239.80,9461686
1-Jun-16,246.00,247.30,234.10,239.60,13714942
31-May-16,250.60,253.50,245.50,246.50,12341263
27-May-16,247.70,252.30,246.96,251.20,10675880
26-May-16,256.90,256.90,247.20,248.60,14043242
25-May-16,247.10,257.40,246.43,256.00,17782989
24-May-16,233.60,246.40,232.90,245.30,19348491
23-May-16,231.50,236.60,230.40,234.10,13495393
20-May-16,230.00,233.80,228.70,231.80,16346500
19-May-16,223.20,231.40,222.59,226.80,19432853
18-May-16,212.90,224.40,212.70,223.70,18223597
17-May-16,214.10,218.40,212.35,214.50,12289735
16-May-16,209.50,212.70,208.30,212.50,7183851
13-May-16,208.30,211.92,205.67,211.30,11596721
12-May-16,212.30,214.90,209.00,209.60,9485371
11-May-16,215.20,216.70,209.20,213.70,9918726
10-May-16,213.70,217.04,213.24,215.20,13000084
9-May-16,215.50,217.40,212.20,212.90,11060310
